ytid,start_time,class,set
578,0,drum kit,train
6783,0,drum kit,train
2283,0,drum kit,train
1952,0,drum kit,train
1946,0,drum kit,train
3189,0,drum kit,train
8962,0,drum kit,train
544,0,drum kit,train
6967,0,drum kit,train
222,0,drum kit,train
4816,0,drum kit,train
236,0,drum kit,train
8786,0,drum kit,train
6973,0,drum kit,train
10061,0,drum kit,train
2526,0,drum kit,train
3638,0,drum kit,train
9315,0,drum kit,train
1991,0,drum kit,train
4631,0,drum kit,train
4625,0,drum kit,train
2254,0,drum kit,train
9301,0,drum kit,train
6032,0,drum kit,train
1985,0,drum kit,train
8779,0,drum kit,train
10075,0,drum kit,train
4143,0,drum kit,train
7462,0,drum kit,train
1013,0,drum kit,train
587,0,drum kit,train
8989,0,drum kit,train
3604,0,drum kit,train
9329,0,drum kit,train
8037,0,drum kit,train
1761,0,drum kit,train
7310,0,drum kit,train
8023,0,drum kit,train
4619,0,drum kit,train
3176,0,drum kit,train
5507,0,drum kit,train
5261,0,drum kit,train
7476,0,drum kit,train
1588,0,drum kit,train
2081,0,drum kit,train
5088,0,drum kit,train
4396,0,drum kit,train
7853,0,drum kit,train
4382,0,drum kit,train
5922,0,drum kit,train
2095,0,drum kit,train
9856,0,drum kit,train
8590,0,drum kit,train
746,0,drum kit,train
10288,0,drum kit,train
2917,0,drum kit,train
8584,0,drum kit,train
10505,0,drum kit,train
4433,0,drum kit,train
6542,0,drum kit,train
961,0,drum kit,train
10277,0,drum kit,train
6556,0,drum kit,train
6230,0,drum kit,train
5739,0,drum kit,train
3348,0,drum kit,train
4427,0,drum kit,train
8235,0,drum kit,train
1577,0,drum kit,train
6218,0,drum kit,train
5711,0,drum kit,train
3406,0,drum kit,train
2718,0,drum kit,train
5077,0,drum kit,train
1211,0,drum kit,train
9895,0,drum kit,train
8553,0,drum kit,train
1205,0,drum kit,train
791,0,drum kit,train
8547,0,drum kit,train
5063,0,drum kit,train
3374,0,drum kit,train
8221,0,drum kit,train
1563,0,drum kit,train
168,0,drum kit,train
4584,0,drum kit,train
5842,0,drum kit,train
2693,0,drum kit,train
7933,0,drum kit,train
96,0,drum kit,train
82,0,drum kit,train
2687,0,drum kit,train
4590,0,drum kit,train
5856,0,drum kit,train
7099,0,drum kit,train
6387,0,drum kit,train
154,0,drum kit,train
632,0,drum kit,train
9922,0,drum kit,train
626,0,drum kit,train
9936,0,drum kit,train
140,0,drum kit,train
4547,0,drum kit,train
5881,0,drum kit,train
7,0,drum kit,train
10471,0,drum kit,train
5659,0,drum kit,train
9063,0,drum kit,train
1359,0,drum kit,train
55,0,drum kit,train
6436,0,drum kit,train
